Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
128.177.112.16/29,Facebook Inc,C05042646,customer,90,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C05042646,"1601 Willow Rd, Menlo Park, United States, 94025",
198.24.63.160/29,"Facebook, Inc",C04665554,customer,90,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C04665554,"1601 Willow Rd, Menlo Park, United States, 94025",
12.219.159.80/28,FACEBOOK,C10806513,customer,86,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C10806513,"150 INDEPENDENCE DR, MENLO PARK, United States, 94025",
128.177.110.68/30,Facebook Inc,C07807963,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07807963,"6623 Dumbarton Cir, Fremont, United States, 94555",
128.177.22.20/30,Facebook Inc,C07981052,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07981052,"100 Independence Dr - Bldg 61, Menlo Park, United States, 94025",
128.92.176.108/30,Facebook,C07302410,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07302410,"240 Shire Pkwy, Social Circle, United States, 30025",
128.92.177.168/30,Facebook,C07309163,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07309163,"240 Shire Pkwy, Social Circle, United States, 30025",
144.121.150.16/29,"Facebook, Inc.",C07086876,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07086876,"1601 Willow Road, Menlo Park, United States, 94025",
173.46.64.132/30,Facebook Inc,C08030099,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08030099,"6519 Dumbarton Cir, Fremont, United States, 94555",
173.46.64.80/30,Facebook Inc,C08028534,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08028534,"6503 Dumbarton Cir, Fremont, United States, 94555",
173.46.67.176/29,Facebook Inc,C08047288,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08047288,"3011 Lafayette St, Santa Clara, United States, 95054",
2001:56b:134::/48,Facebook,C10357572,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C10357572,"14 FL 2300 Tower B, Yonge St, TORONTO, Canada, M4P 1E4",
2001:56b:8106::/48,Facebook,C07062593,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07062593,"3777 Kingsway, Burnaby, Canada, V5H 3Z7",
206.47.120.0/29,Facebook Inc,C05965977,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05965977,"661 University Ave, Toronto, Canada, M5G 2N2",
208.184.124.24/30,Facebook Inc,C07866585,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07866585,"2880 Northwestern Pkwy, Santa Clara, United States, 95051",
208.184.210.144/30,Facebook Inc,C08134951,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08134951,"4755 NE Huffman St, Hillsboro, United States, 97124",
208.184.31.112/28,FaceBook Inc,C06328959,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C06328959,"100 Share Way, Altoona, United States, 50009",
208.184.39.84/30,Facebook Inc,C07951783,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07951783,"2880 Northwestern Pkwy, Santa Clara, United States, 95051",
208.184.95.52/30,Facebook Inc,C07685445,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07685445,"6422 Commerce Dr, Fremont, United States, 94536",
208.185.188.168/30,Facebook Inc,C07916759,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07916759,"6800 Dumbarton Cir, Fremont, United States, 94555",
208.185.201.112/30,Facebook Inc,C08168584,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08168584,"11003 Corporate Centre Dr - Bldg 3, Houston, United States, 77041",
208.185.216.156/30,Facebook Inc,C08073047,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08073047,"209 Constitution Dr, Menlo Park, United States, 94025",
208.185.77.204/30,Facebook Inc,C08123281,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08123281,"2335 S Ellis St, Chandler, United States, 85286",
208.255.115.0/24,FACEBOOK INC,C05989567,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05989567,"201 CENTENNIAL AVE, PISCATAWAY, United States, 08854-3909",
209.133.111.24/30,Facebook Inc,C07754977,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07754977,"2880 Northwestern Pkwy, Santa Clara, United States, 95051",
209.133.4.180/30,Facebook Inc,C07972967,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07972967,"1180 Discovery Way-Blg 5, Sunnyvale, United States, 94089",
209.170.125.88/30,Facebook Inc,C07993383,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07993383,"21715 Filigree Court, Ashburn, United States, 20147",
209.170.125.92/30,Facebook Inc,C07993382,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07993382,"11 Great Oaks Blvd, San Jose, United States, 95119",
209.249.136.52/30,Facebook Inc,C08075832,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08075832,"415 10th Ave, New York, United States, 10001",
209.249.202.64/28,FaceBook Inc,C07300866,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07300866,"21955 Loudoun County Pkwy, Ashburn, United States, 20147",
209.249.25.44/30,Facebook Inc,C07916433,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07916433,"6750 Dumbarton Cir, Fremont, United States, 94555",
209.249.39.136/30,Facebook Inc,C07943470,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07943470,"1 Facebook Way, Menlo Park, United States, 94025",
209.249.39.140/30,Facebook Inc,C07943473,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07943473,"1 Facebook Way, Menlo Park, United States, 94025",
209.249.69.40/30,Facebook Inc,C07943497,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07943497,"1 Facebook Way, Menlo Park, United States, 94025",
209.249.9.76/30,Facebook Inc,C08080789,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C08080789,"205 Constitution Dr, Menlo Park, United States, 94025",
