Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
2001:1890:1332::/56,GOOGLE INC.,C07848099,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C07848099,"1600 Amphitheatere Parkway, Mountain View, United States, 94043",
2001:1890:1c1e:9500::/56,GOOGLE INC.,C09808781,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C09808781,"1600 Amphitheatere Parkway, Mountain View, United States, 94043",
2001:1890:1c1e:9b00::/56,GOOGLE INC.,C09808748,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C09808748,"1600 Amphitheatere Parkway, Mountain View, United States, 94043",
2001:1890:1c1e:9c00::/56,GOOGLE INC.,C09808749,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C09808749,"1600 Amphitheatere Parkway, Mountain View, United States, 94043",
2001:1890:1c4c:f900::/56,GOOGLE INC.,C07830314,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C07830314,"1600 Amphitheatere Parkway, Mountain View, United States, 94043",
2001:1890:1c4e:2200::/56,GOOGLE INC.,C07848001,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C07848001,"1600 Amphitheatere Parkway, Mountain View, United States, 94043",
173.205.116.0/22,Google inc,C06916871,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06916871,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
199.241.168.0/27,Google,C07708007,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07708007,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
2001:1890:1f6b:5000::/56,GOOGLE LLC,C10360919,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C10360919,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.189.0/27,Google inc,C06087065,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06087065,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.220.0/27,Google inc,C06213948,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06213948,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.220.32/27,Google inc,C06217384,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06217384,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.220.64/27,Google inc,C06217391,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06217391,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.220.96/27,Google inc,C06217392,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06217392,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.221.4/30,Google inc,C06238600,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06238600,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
204.237.223.64/29,Google inc,C06238598,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06238598,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
64.235.254.0/26,Google inc,C07474745,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07474745,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
69.174.118.0/24,Google inc,C06885258,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06885258,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
69.174.119.0/24,Google inc,C06881904,customer,96,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06881904,"1600 Amphitheatre Parkway, Mountain View, United States, 94043",
12.28.40.0/32,GOOGLE INC.,C07775800,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775800,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.40.1/32,GOOGLE INC.,C07775802,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775802,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.40.2/32,GOOGLE INC.,C07775806,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775806,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.40.3/32,GOOGLE INC.,C07775807,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775807,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.40.4/32,GOOGLE INC.,C07775808,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775808,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.40.5/32,GOOGLE INC.,C07775809,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775809,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.40.6/32,GOOGLE INC.,C07775810,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775810,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.42.0/32,GOOGLE INC.,C07775803,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775803,"350 E CERMAK RD, CHICAGO, United States, 60616",
12.28.42.1/32,GOOGLE INC.,C07775811,customer,91,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07775811,"350 E CERMAK RD, CHICAGO, United States, 60616",
