Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
206.16.204.64/28,Microsoft Corporation,C01138857,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C01138857,"1 Microsoft Way, Redmond, United States, 98052",
206.16.223.0/24,Microsoft Corporation,C01126495,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C01126495,"1 Microsoft Way, Redmond, United States, 98052",
206.16.224.160/27,Microsoft Corporation,C01510784,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C01510784,"1 Microsoft Way, Redmond, United States, 98052",
63.240.216.0/22,Microsoft Corporation,C01282827,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C01282827,"1 Microsoft Way, Redmond, United States, 98052",
63.240.220.0/22,Microsoft Corporation,C01291628,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C01291628,"1 Microsoft Way, Redmond, United States, 98052",
69.74.162.0/24,Microsoft,C01563731,customer,99,"Customer, company name is name parameter, address match from ARIN objects, score adjusted to 99 to keep within threshold",http://whois.arin.net/rest/customer/C01563731,"1 Microsoft Way, Redmond, United States, 98052",
151.181.210.96/30,Microsoft Corporation,C11048330,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C11048330,"One Microsoft Way, Redmond, United States, 98052",
173.205.13.128/29,Microsoft,C05582040,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C05582040,"One Microsoft Way, Redmond, United States, 98052",
173.205.27.104/29,Microsoft,C05740965,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C05740965,"One Microsoft Way, Redmond, United States, 98052",
173.205.27.112/28,Microsoft,C05722626,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C05722626,"One Microsoft Way, Redmond, United States, 98052",
173.205.27.160/27,Microsoft,C05717914,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C05717914,"One Microsoft Way, Redmond, United States, 98052",
204.237.202.96/28,Microsoft,C06161398,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C06161398,"One Microsoft Way, Redmond, United States, 98052",
208.194.139.0/24,Microsoft Corp,C00547714,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547714,"One Microsoft Way, Redmond, United States, 98052",
208.204.49.128/25,Microsoft Corp,C00547715,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547715,"One Microsoft Way, Redmond, United States, 98052",
208.205.26.0/24,Microsoft Corp,C00547716,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547716,"One Microsoft Way, Redmond, United States, 98052",
208.222.172.0/24,Microsoft Corp,C00547718,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547718,"One Microsoft Way, Redmond, United States, 98052",
208.224.200.64/27,Microsoft Corp,C00547719,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547719,"One Microsoft Way, Redmond, United States, 98052",
208.241.19.0/28,Microsoft Corp,C00547721,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547721,"One Microsoft Way, Redmond, United States, 98052",
208.241.19.16/28,Microsoft Corp,C00547722,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547722,"One Microsoft Way, Redmond, United States, 98052",
208.241.9.224/28,Microsoft Corp,C00547723,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547723,"One Microsoft Way, Redmond, United States, 98052",
208.244.108.0/28,Microsoft Corp,C00547724,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547724,"One Microsoft Way, Redmond, United States, 98052",
208.245.16.0/27,Microsoft Corp,C00547725,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547725,"One Microsoft Way, Redmond, United States, 98052",
208.249.17.160/28,Microsoft Corp,C00547726,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00547726,"One Microsoft Way, Redmond, United States, 98052",
209.120.234.172/30,Microsoft Corporation,C07561599,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C07561599,"One Microsoft Way, Redmond, United States, 98052",
209.160.139.188/30,Microsoft Corporation,C11042706,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C11042706,"One Microsoft Way, Redmond, United States, 98052",
63.69.245.0/24,Microsoft Corp,C00585639,customer,89,"Customer, company name is name parameter, address match from ARIN objects",http://whois.arin.net/rest/customer/C00585639,"One Microsoft Way, Redmond, United States, 98052",
